feedback_id,ride_id,customer_id,rating,feedback_category,feedback_text,created_at
1,3,2746,4,pricing,Decent ride but car smelled like smoke.,2025-04-24 11:14:34.920313
2,8,1960,4,other,Decent ride but car smelled like smoke.,2025-04-23 20:28:56.211224
3,9,1252,4,route,Driver was okay but not very talkative.,2025-04-24 11:18:21.551744
4,18,4851,4,other,Decent ride but car smelled like smoke.,2025-04-24 01:37:38.180804
5,20,2968,6,other,Perfect experience from start to finish.,2025-04-23 21:15:53.725263
6,27,4830,5,driver,Excellent service! Driver was very professional.,2025-04-23 17:34:20.897297
7,28,373,4,route,"Good overall, but took a longer route.",2025-04-23 18:17:20.857875
8,37,2052,4,vehicle,"Good overall, but took a longer route.",2025-04-24 01:10:25.408146
9,46,4809,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-23 15:03:50.346139
10,50,2172,4,other,Decent ride but car smelled like smoke.,2025-04-24 06:15:12.685755
11,58,2345,4,driver,"Good overall, but took a longer route.",2025-04-24 16:08:05.993935
12,64,518,5,other,Perfect experience from start to finish.,2025-04-24 11:43:36.615757
13,65,797,4,vehicle,Decent ride but car smelled like smoke.,2025-04-23 12:17:08.443399
14,72,521,3,driver,Car was dirty and uncomfortable.,2025-04-23 09:52:45.902975
15,73,4272,4,pricing,Perfect experience from start to finish.,2025-04-24 09:05:15.031638
16,74,3634,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-24 12:56:15.655536
17,75,4894,4,route,Decent ride but car smelled like smoke.,2025-04-24 09:49:42.887087
18,79,3465,4,other,Driver was okay but not very talkative.,2025-04-23 17:37:03.612369
19,80,1838,4,pricing,"Good overall, but took a longer route.",2025-04-24 14:35:36.443203
20,83,3440,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-23 11:31:09.447960
21,87,3528,4,driver,"Good overall, but took a longer route.",2025-04-24 07:23:57.040325
22,93,4048,6,other,Clean car and smooth ride. Will use again!,2025-04-24 04:20:14.149819
23,94,2590,5,driver,Perfect experience from start to finish.,2025-04-24 10:54:22.476135
24,99,2742,4,driver,"Good overall, but took a longer route.",2025-04-23 15:49:11.100340
25,105,1946,5,pricing,Excellent service! Driver was very professional.,2025-04-23 14:08:50.805578
26,109,437,4,other,Decent ride but car smelled like smoke.,2025-04-24 18:10:59.601084
27,110,1197,4,route,"Good overall, but took a longer route.",2025-04-23 14:55:56.496479
28,116,4767,5,driver,Excellent service! Driver was very professional.,2025-04-23 20:22:57.370849
29,124,551,3,other,Overcharged for the distance traveled.,2025-04-24 01:55:59.193160
30,126,3171,4,pricing,Decent ride but car smelled like smoke.,2025-04-23 20:16:07.018332
31,132,4517,4,route,"Good overall, but took a longer route.",2025-04-24 01:39:53.042800
32,133,1349,5,other,Perfect experience from start to finish.,2025-04-24 05:22:17.395661
33,142,2305,4,pricing,Driver was okay but not very talkative.,2025-04-23 16:27:30.878230
34,145,2996,6,other,Excellent service! Driver was very professional.,2025-04-24 00:57:08.527039
35,148,898,4,pricing,Driver was okay but not very talkative.,2025-04-24 14:58:25.415421
36,151,1671,4,route,Decent ride but car smelled like smoke.,2025-04-23 07:35:30.763067
37,153,2166,5,vehicle,Excellent service! Driver was very professional.,2025-04-24 17:37:42.802278
38,154,4006,3,driver,Terrible experience. Driver was rude.,2025-04-23 19:58:17.191638
39,156,1656,4,driver,"Good overall, but took a longer route.",2025-04-24 09:51:24.132040
40,159,733,4,other,"Good overall, but took a longer route.",2025-04-24 01:28:21.329007
41,162,2709,5,route,Excellent service! Driver was very professional.,2025-04-24 04:37:23.412189
42,168,640,5,vehicle,Excellent service! Driver was very professional.,2025-04-23 19:42:53.372057
43,171,3471,4,other,Decent ride but car smelled like smoke.,2025-04-23 14:57:19.940967
44,172,1110,3,driver,Car was dirty and uncomfortable.,2025-04-24 10:08:09.739989
45,181,1183,4,pricing,Driver was okay but not very talkative.,2025-04-23 23:37:08.227495
46,182,3685,5,pricing,Clean car and smooth ride. Will use again!,2025-04-23 11:35:51.571352
47,189,4478,4,pricing,Decent ride but car smelled like smoke.,2025-04-23 20:05:24.032803
48,190,398,4,pricing,Decent ride but car smelled like smoke.,2025-04-24 10:11:35.260410
49,191,3959,4,driver,"Good overall, but took a longer route.",2025-04-24 04:39:28.456150
50,194,661,4,vehicle,Driver was okay but not very talkative.,2025-04-24 02:16:31.612701
51,196,1732,4,vehicle,Decent ride but car smelled like smoke.,2025-04-23 15:07:32.888044
52,198,1331,4,driver,Driver was okay but not very talkative.,2025-04-23 23:58:33.434077
53,201,1522,4,pricing,Driver was okay but not very talkative.,2025-04-24 06:31:08.097705
54,211,1983,5,vehicle,Excellent service! Driver was very professional.,2025-04-24 09:13:23.479489
55,212,3427,5,driver,Excellent service! Driver was very professional.,2025-04-23 22:45:21.080115
56,213,2909,4,other,"Good overall, but took a longer route.",2025-04-24 12:08:59.751466
57,230,1942,5,route,Excellent service! Driver was very professional.,2025-04-24 21:21:54.213019
58,231,1696,4,route,Decent ride but car smelled like smoke.,2025-04-25 02:23:00.193749
59,232,4215,4,vehicle,Decent ride but car smelled like smoke.,2025-04-25 17:30:03.829518
60,233,1199,4,pricing,Driver was okay but not very talkative.,2025-04-25 08:17:24.798498
61,235,21,4,other,Driver was okay but not very talkative.,2025-04-24 23:35:47.308045
62,238,3505,4,driver,"Good overall, but took a longer route.",2025-04-24 12:31:53.785387
