ride_id,driver_id,customer_id,pickup_zone_id,dropoff_zone_id,pickup_datetime,dropoff_datetime,distance_miles,duration_minutes,fare_amount,tip_amount,payment_method,ride_status,customer_rating,driver_rating,created_at
1,85,4663,2,5,2025-04-23 12:43:13.614223,2025-04-23 12:49:33.660368,2.3,6,10.41,2.34,cash,completed,3.6,3.386913716868927,2025-04-23 12:43:13.614223
2,30,3623,6,11,2025-04-23 18:38:13.614223,2025-04-23 18:52:55.998044,6.83,14,20.32,0.0,cash,completed,4.3,4.593735399106002,2025-04-23 18:38:13.614223
3,63,2746,2,2,2025-04-23 19:10:13.614223,2025-04-23 19:14:34.920313,1.64,4,12.16,2.59,mobile,completed,3.5,3.3104194642949154,2025-04-23 19:10:13.614223
4,47,597,10,8,2025-04-23 08:01:13.614223,2025-04-23 08:07:34.368635,3.1,6,15.1,2.94,credit,completed,4.3,4.518345915498989,2025-04-23 08:01:13.614223
5,61,874,1,7,2025-04-23 12:15:13.614223,2025-04-23 12:17:57.711391,1.27,2,6.54,0.0,mobile,completed,4.1,4.117957750443741,2025-04-23 12:15:13.614223
6,7,3807,12,11,2025-04-23 07:58:13.614223,2025-04-23 08:04:12.340874,2.1,5,9.28,1.71,cash,completed,3.8,4.2500396084431555,2025-04-23 07:58:13.614223
7,70,4489,5,8,2025-04-23 18:52:13.614223,2025-04-23 19:18:46.099748,11.96,26,45.56,9.64,cash,completed,4.7,4.650069757246908,2025-04-23 18:52:13.614223
8,4,1960,11,5,2025-04-23 19:17:13.614223,2025-04-23 19:28:56.211224,4.23,11,14.72,3.05,credit,completed,3.9,3.6717151070821847,2025-04-23 19:17:13.614223
9,31,1252,6,12,2025-04-23 17:05:13.614223,2025-04-23 17:18:21.551744,8.02,13,23.16,0.0,cash,completed,4.4,4.307599369666587,2025-04-23 17:05:13.614223
10,98,4785,9,12,2025-04-23 13:03:13.614223,2025-04-23 13:12:17.515023,4.11,9,10.6,0.0,mobile,completed,4.0,3.8803810289277116,2025-04-23 13:03:13.614223
11,9,3433,2,9,2025-04-23 11:19:13.614223,2025-04-23 11:27:00.580625,2.83,7,11.76,2.14,mobile,completed,4.4,4.797811347399196,2025-04-23 11:19:13.614223
12,39,3313,3,12,2025-04-23 08:27:13.614223,2025-04-23 08:32:57.981305,2.31,5,9.79,0.0,cash,completed,4.2,4.619541620668976,2025-04-23 08:27:13.614223
13,28,223,6,2,2025-04-23 18:01:13.614223,2025-04-23 18:32:27.011475,12.97,31,48.94,5.89,cash,completed,4.9,4.5817290265134325,2025-04-23 18:01:13.614223
14,8,3106,12,5,2025-04-23 10:13:13.614223,2025-04-23 10:18:05.912504,1.98,4,9.0,2.02,cash,completed,4.0,4.334910914912121,2025-04-23 10:13:13.614223
15,1,1837,10,11,2025-04-23 23:34:13.614223,2025-04-23 23:43:33.402568,4.55,9,14.02,0.0,mobile,completed,4.9,4.440258137540767,2025-04-23 23:34:13.614223
16,78,1955,1,3,2025-04-23 07:12:13.614223,2025-04-23 07:17:10.229661,1.74,4,7.56,0.89,credit,completed,3.9,3.8650339834352208,2025-04-23 07:12:13.614223
17,88,939,7,3,2025-04-23 11:10:13.614223,2025-04-23 11:16:10.294010,2.28,5,5.73,0.67,credit,completed,4.2,4.628887168407122,2025-04-23 11:10:13.614223
18,31,4851,3,12,2025-04-23 12:25:13.614223,2025-04-23 12:37:38.180804,4.22,12,14.43,1.97,mobile,completed,4.3,4.572480884951224,2025-04-23 12:25:13.614223
19,90,337,5,6,2025-04-23 18:51:13.614223,2025-04-23 19:12:26.295614,13.08,21,49.31,9.82,credit,completed,4.8,4.805960789677078,2025-04-23 18:51:13.614223
